task,n_qubits,arm,replicate,logical_gate_count,logical_depth,two_qubit_count,controlled_rotation_count,parameter_count,transpiled_depth_line,transpiled_depth_ring,transpiled_depth_all_to_all,transpiled_2q_line,transpiled_2q_ring,transpiled_2q_all_to_all
gauss_peak,5,ref_realamp_d1,6,10,6,4,0,5,8,8,8,4,4,4
gauss_peak,5,ref_realamp_d1,7,10,6,4,0,5,8,8,8,4,4,4
gauss_peak,5,ref_realamp_d1,8,10,6,4,0,5,8,8,8,4,4,4
gauss_peak,5,ref_realamp_d1,9,10,6,4,0,5,8,8,8,4,4,4
gauss_peak,5,ref_realamp_d2,0,19,9,8,0,10,14,14,14,8,8,8
gauss_peak,5,ref_realamp_d2,1,19,9,8,0,10,14,14,14,8,8,8
gauss_peak,5,ref_realamp_d2,2,19,9,8,0,10,14,14,14,8,8,8
gauss_peak,5,ref_realamp_d2,3,19,9,8,0,10,14,14,14,8,8,8
gauss_peak,5,ref_realamp_d2,4,19,9,8,0,10,14,14,14,8,8,8
gauss_peak,5,ref_realamp_d2,5,19,9,8,0,10,14,14,14,8,8,8
gauss_peak,5,ref_realamp_d2,6,19,9,8,0,10,14,14,14,8,8,8
gauss_peak,5,ref_realamp_d2,7,19,9,8,0,10,14,14,14,8,8,8
gauss_peak,5,ref_realamp_d2,8,19,9,8,0,10,14,14,14,8,8,8
gauss_peak,5,ref_realamp_d2,9,19,9,8,0,10,14,14,14,8,8,8
gauss_peak,5,ref_strongent_d1,0,21,9,5,0,15,15,11,11,12,5,5
gauss_peak,5,ref_strongent_d1,1,21,9,5,0,15,15,11,11,12,5,5
gauss_peak,5,ref_strongent_d1,2,21,9,5,0,15,15,11,11,12,5,5
gauss_peak,5,ref_strongent_d1,3,21,9,5,0,15,15,11,11,12,5,5
gauss_peak,5,ref_strongent_d1,4,21,9,5,0,15,15,11,11,12,5,5
gauss_peak,5,ref_strongent_d1,5,21,9,5,0,15,15,11,11,12,5,5
gauss_peak,5,ref_strongent_d1,6,21,9,5,0,15,15,11,11,12,5,5
gauss_peak,5,ref_strongent_d1,7,21,9,5,0,15,15,11,11,12,5,5
gauss_peak,5,ref_strongent_d1,8,21,9,5,0,15,15,11,11,12,5,5
gauss_peak,5,ref_strongent_d1,9,21,9,5,0,15,15,11,11,12,5,5
gauss_peak,5,ref_strongent_d2,0,41,17,10,0,30,47,22,22,29,10,10
gauss_peak,5,ref_strongent_d2,1,41,17,10,0,30,47,22,22,29,10,10
gauss_peak,5,ref_strongent_d2,2,41,17,10,0,30,47,22,22,29,10,10
gauss_peak,5,ref_strongent_d2,3,41,17,10,0,30,47,22,22,29,10,10
gauss_peak,5,ref_strongent_d2,4,41,17,10,0,30,47,22,22,29,10,10
gauss_peak,5,ref_strongent_d2,5,41,17,10,0,30,47,22,22,29,10,10
gauss_peak,5,ref_strongent_d2,6,41,17,10,0,30,47,22,22,29,10,10
gauss_peak,5,ref_strongent_d2,7,41,17,10,0,30,47,22,22,29,10,10
gauss_peak,5,ref_strongent_d2,8,41,17,10,0,30,47,22,22,29,10,10
gauss_peak,5,ref_strongent_d2,9,41,17,10,0,30,47,22,22,29,10,10
peak_count,5,evolutionary_structure,0,59,24,24,24,58,206,164,78,108,84,48
peak_count,5,evolutionary_structure,1,43,18,10,5,32,83,50,50,36,15,15
peak_count,5,evolutionary_structure,2,41,17,20,20,35,141,122,86,85,66,40
peak_count,5,evolutionary_structure,3,36,20,22,13,21,110,101,84,56,47,35
peak_count,5,evolutionary_structure,4,39,17,12,4,29,52,51,35,35,31,16
peak_count,5,evolutionary_structure,5,17,9,8,4,12,35,35,35,12,12,12
peak_count,5,evolutionary_structure,6,37,19,14,9,31,126,92,92,59,23,23
peak_count,5,evolutionary_structure,7,45,21,17,17,30,106,86,79,72,37,34
peak_count,5,evolutionary_structure,8,43,24,26,14,23,143,134,99,93,73,40
peak_count,5,evolutionary_structure,9,42,22,23,9,20,101,87,42,80,62,32
peak_count,5,greedy_growth,0,44,21,14,10,34,119,98,89,57,33,24
peak_count,5,greedy_growth,1,19,13,9,9,15,76,72,56,37,27,18
peak_count,5,greedy_growth,2,40,21,22,16,28,100,89,61,84,58,36
peak_count,5,greedy_growth,3,54,30,38,18,33,216,204,115,149,110,56
peak_count,5,greedy_growth,4,40,16,14,14,29,114,117,78,55,49,28
peak_count,5,greedy_growth,5,27,18,20,10,16,109,86,76,78,46,30
peak_count,5,greedy_growth,6,16,5,1,0,14,13,13,13,1,1,1
peak_count,5,greedy_growth,7,45,18,14,12,42,95,95,77,38,38,26
peak_count,5,greedy_growth,8,38,18,15,15,37,139,101,74,66,45,30
peak_count,5,greedy_growth,9,49,34,35,20,26,211,167,157,147,73,55
peak_count,5,random_structure,0,53,26,29,19,40,174,155,111,104,76,48
peak_count,5,random_structure,1,39,17,19,14,28,125,110,94,64,48,33
peak_count,5,random_structure,2,48,24,26,26,42,190,158,103,106,82,52
peak_count,5,random_structure,3,43,27,29,29,40,215,166,121,131,85,58
peak_count,5,random_structure,4,52,29,34,34,51,276,224,184,134,102,68
peak_count,5,random_structure,5,34,15,15,15,30,104,94,62,60,45,30
peak_count,5,random_structure,6,40,21,23,23,34,155,153,99,86,70,46
peak_count,5,random_structure,7,50,28,34,15,20,170,144,77,131,85,49
peak_count,5,random_structure,8,45,25,33,33,44,226,212,154,138,108,66
peak_count,5,random_structure,9,39,23,25,20,30,138,105,67,108,67,45
peak_count,5,ref_realamp_d1,0,10,6,4,0,5,8,8,8,4,4,4
peak_count,5,ref_realamp_d1,1,10,6,4,0,5,8,8,8,4,4,4
peak_count,5,ref_realamp_d1,2,10,6,4,0,5,8,8,8,4,4,4
peak_count,5,ref_realamp_d1,3,10,6,4,0,5,8,8,8,4,4,4
peak_count,5,ref_realamp_d1,4,10,6,4,0,5,8,8,8,4,4,4
peak_count,5,ref_realamp_d1,5,10,6,4,0,5,8,8,8,4,4,4
peak_count,5,ref_realamp_d1,6,10,6,4,0,5,8,8,8,4,4,4
peak_count,5,ref_realamp_d1,7,10,6,4,0,5,8,8,8,4,4,4
peak_count,5,ref_realamp_d1,8,10,6,4,0,5,8,8,8,4,4,4
peak_count,5,ref_realamp_d1,9,10,6,4,0,5,8,8,8,4,4,4
peak_count,5,ref_realamp_d2,0,19,9,8,0,10,14,14,14,8,8,8
peak_count,5,ref_realamp_d2,1,19,9,8,0,10,14,14,14,8,8,8
peak_count,5,ref_realamp_d2,2,19,9,8,0,10,14,14,14,8,8,8
peak_count,5,ref_realamp_d2,3,19,9,8,0,10,14,14,14,8,8,8
peak_count,5,ref_realamp_d2,4,19,9,8,0,10,14,14,14,8,8,8
peak_count,5,ref_realamp_d2,5,19,9,8,0,10,14,14,14,8,8,8
peak_count,5,ref_realamp_d2,6,19,9,8,0,10,14,14,14,8,8,8
peak_count,5,ref_realamp_d2,7,19,9,8,0,10,14,14,14,8,8,8
peak_count,5,ref_realamp_d2,8,19,9,8,0,10,14,14,14,8,8,8
peak_count,5,ref_realamp_d2,9,19,9,8,0,10,14,14,14,8,8,8
peak_count,5,ref_strongent_d1,0,21,9,5,0,15,15,11,11,12,5,5
peak_count,5,ref_strongent_d1,1,21,9,5,0,15,15,11,11,12,5,5
peak_count,5,ref_strongent_d1,2,21,9,5,0,15,15,11,11,12,5,5
peak_count,5,ref_strongent_d1,3,21,9,5,0,15,15,11,11,12,5,5
peak_count,5,ref_strongent_d1,4,21,9,5,0,15,15,11,11,12,5,5
peak_count,5,ref_strongent_d1,5,21,9,5,0,15,15,11,11,12,5,5
peak_count,5,ref_strongent_d1,6,21,9,5,0,15,15,11,11,12,5,5
peak_count,5,ref_strongent_d1,7,21,9,5,0,15,15,11,11,12,5,5
peak_count,5,ref_strongent_d1,8,21,9,5,0,15,15,11,11,12,5,5
peak_count,5,ref_strongent_d1,9,21,9,5,0,15,15,11,11,12,5,5
peak_count,5,ref_strongent_d2,0,41,17,10,0,30,47,22,22,29,10,10
peak_count,5,ref_strongent_d2,1,41,17,10,0,30,47,22,22,29,10,10
peak_count,5,ref_strongent_d2,2,41,17,10,0,30,47,22,22,29,10,10
peak_count,5,ref_strongent_d2,3,41,17,10,0,30,47,22,22,29,10,10
peak_count,5,ref_strongent_d2,4,41,17,10,0,30,47,22,22,29,10,10
peak_count,5,ref_strongent_d2,5,41,17,10,0,30,47,22,22,29,10,10
peak_count,5,ref_strongent_d2,6,41,17,10,0,30,47,22,22,29,10,10
peak_count,5,ref_strongent_d2,7,41,17,10,0,30,47,22,22,29,10,10
peak_count,5,ref_strongent_d2,8,41,17,10,0,30,47,22,22,29,10,10
peak_count,5,ref_strongent_d2,9,41,17,10,0,30,47,22,22,29,10,10
sin_freq,5,evolutionary_structure,0,64,31,38,38,53,281,250,135,163,136,76
sin_freq,5,evolutionary_structure,1,46,20,14,5,31,73,59,59,39,19,19
sin_freq,5,evolutionary_structure,2,38,20,16,0,18,95,81,49,46,34,16
sin_freq,5,evolutionary_structure,3,36,28,30,22,22,179,156,123,118,83,52
sin_freq,5,evolutionary_structure,4,39,23,25,14,22,136,130,73,92,76,39
sin_freq,5,evolutionary_structure,5,45,32,32,18,22,226,183,127,132,90,50
sin_freq,5,evolutionary_structure,6,35,30,34,24,24,203,166,122,152,85,58
sin_freq,5,evolutionary_structure,7,42,20,21,15,35,98,95,74,66,52,36
sin_freq,5,evolutionary_structure,8,33,19,21,9,20,91,93,63,55,48,30
sin_freq,5,evolutionary_structure,9,51,29,35,24,34,189,157,96,138,101,59
sin_freq,5,greedy_growth,0,27,17,16,11,16,110,108,82,58,42,27
sin_freq,5,greedy_growth,1,43,23,28,24,33,179,173,103,108,94,52
sin_freq,5,greedy_growth,2,32,17,11,11,29,92,80,77,45,25,22
sin_freq,5,greedy_growth,3,30,19,15,15,29,126,102,102,58,30,30
sin_freq,5,greedy_growth,4,41,27,35,26,31,189,164,133,138,98,61
sin_freq,5,greedy_growth,5,37,16,10,10,34,80,78,59,35,35,20
sin_freq,5,greedy_growth,6,46,23,15,10,30,109,79,79,59,25,25
sin_freq,5,greedy_growth,7,48,25,25,21,38,192,158,134,92,71,46
sin_freq,5,greedy_growth,8,29,13,9,4,23,70,70,56,22,22,13
sin_freq,5,greedy_growth,9,30,19,18,18,25,105,104,92,64,46,36
sin_freq,5,random_structure,0,44,22,24,14,29,130,116,76,84,56,38
sin_freq,5,random_structure,1,48,30,41,21,22,229,191,96,169,117,62
sin_freq,5,random_structure,2,25,16,19,2,7,69,47,24,58,42,21
sin_freq,5,random_structure,3,31,19,25,20,20,153,126,60,100,75,45
sin_freq,5,random_structure,4,54,27,33,33,48,206,164,119,130,94,66
sin_freq,5,random_structure,5,27,14,13,11,24,103,86,71,46,33,24
sin_freq,5,random_structure,6,31,18,16,15,29,123,122,82,67,49,31
sin_freq,5,random_structure,7,36,19,18,17,34,121,117,94,54,50,35
sin_freq,5,random_structure,8,53,23,24,0,23,151,124,53,73,52,22
sin_freq,5,random_structure,9,64,33,45,25,40,268,215,142,169,128,70
sin_freq,5,ref_realamp_d1,0,10,6,4,0,5,8,8,8,4,4,4
sin_freq,5,ref_realamp_d1,1,10,6,4,0,5,8,8,8,4,4,4
sin_freq,5,ref_realamp_d1,2,10,6,4,0,5,8,8,8,4,4,4
sin_freq,5,ref_realamp_d1,3,10,6,4,0,5,8,8,8,4,4,4
sin_freq,5,ref_realamp_d1,4,10,6,4,0,5,8,8,8,4,4,4
sin_freq,5,ref_realamp_d1,5,10,6,4,0,5,8,8,8,4,4,4
sin_freq,5,ref_realamp_d1,6,10,6,4,0,5,8,8,8,4,4,4
sin_freq,5,ref_realamp_d1,7,10,6,4,0,5,8,8,8,4,4,4
sin_freq,5,ref_realamp_d1,8,10,6,4,0,5,8,8,8,4,4,4
sin_freq,5,ref_realamp_d1,9,10,6,4,0,5,8,8,8,4,4,4
sin_freq,5,ref_realamp_d2,0,19,9,8,0,10,14,14,14,8,8,8
sin_freq,5,ref_realamp_d2,1,19,9,8,0,10,14,14,14,8,8,8
sin_freq,5,ref_realamp_d2,2,19,9,8,0,10,14,14,14,8,8,8
sin_freq,5,ref_realamp_d2,3,19,9,8,0,10,14,14,14,8,8,8
sin_freq,5,ref_realamp_d2,4,19,9,8,0,10,14,14,14,8,8,8
sin_freq,5,ref_realamp_d2,5,19,9,8,0,10,14,14,14,8,8,8
sin_freq,5,ref_realamp_d2,6,19,9,8,0,10,14,14,14,8,8,8
sin_freq,5,ref_realamp_d2,7,19,9,8,0,10,14,14,14,8,8,8
sin_freq,5,ref_realamp_d2,8,19,9,8,0,10,14,14,14,8,8,8
sin_freq,5,ref_realamp_d2,9,19,9,8,0,10,14,14,14,8,8,8
sin_freq,5,ref_strongent_d1,0,21,9,5,0,15,15,11,11,12,5,5
sin_freq,5,ref_strongent_d1,1,21,9,5,0,15,15,11,11,12,5,5
sin_freq,5,ref_strongent_d1,2,21,9,5,0,15,15,11,11,12,5,5
sin_freq,5,ref_strongent_d1,3,21,9,5,0,15,15,11,11,12,5,5
sin_freq,5,ref_strongent_d1,4,21,9,5,0,15,15,11,11,12,5,5
sin_freq,5,ref_strongent_d1,5,21,9,5,0,15,15,11,11,12,5,5
sin_freq,5,ref_strongent_d1,6,21,9,5,0,15,15,11,11,12,5,5
sin_freq,5,ref_strongent_d1,7,21,9,5,0,15,15,11,11,12,5,5
sin_freq,5,ref_strongent_d1,8,21,9,5,0,15,15,11,11,12,5,5
sin_freq,5,ref_strongent_d1,9,21,9,5,0,15,15,11,11,12,5,5
sin_freq,5,ref_strongent_d2,0,41,17,10,0,30,47,22,22,29,10,10
sin_freq,5,ref_strongent_d2,1,41,17,10,0,30,47,22,22,29,10,10
sin_freq,5,ref_strongent_d2,2,41,17,10,0,30,47,22,22,29,10,10
sin_freq,5,ref_strongent_d2,3,41,17,10,0,30,47,22,22,29,10,10
sin_freq,5,ref_strongent_d2,4,41,17,10,0,30,47,22,22,29,10,10
sin_freq,5,ref_strongent_d2,5,41,17,10,0,30,47,22,22,29,10,10
sin_freq,5,ref_strongent_d2,6,41,17,10,0,30,47,22,22,29,10,10
sin_freq,5,ref_strongent_d2,7,41,17,10,0,30,47,22,22,29,10,10
sin_freq,5,ref_strongent_d2,8,41,17,10,0,30,47,22,22,29,10,10
sin_freq,5,ref_strongent_d2,9,41,17,10,0,30,47,22,22,29,10,10
