run_id,arm,block,seed,proposals_consumed,unique_trainings,duplicates,invalid,failed,cumulative_walltime_s
controlled_greedy_b3_s2,controlled_greedy,3,2,25,24,1,0,0,65.73
controlled_random_b4_s0,controlled_random,4,0,25,24,1,0,0,66.777
controlled_random_b4_s1,controlled_random,4,1,25,23,2,0,0,62.967
controlled_random_b4_s2,controlled_random,4,2,25,25,0,0,0,68.878
controlled_evolutionary_b4_s0,controlled_evolutionary,4,0,25,22,3,0,0,61.412
controlled_evolutionary_b4_s1,controlled_evolutionary,4,1,25,18,9,0,0,51.661
controlled_evolutionary_b4_s2,controlled_evolutionary,4,2,25,21,4,0,0,62.605
controlled_greedy_b4_s0,controlled_greedy,4,0,25,25,0,0,0,68.261
controlled_greedy_b4_s1,controlled_greedy,4,1,25,21,5,0,0,49.903
controlled_greedy_b4_s2,controlled_greedy,4,2,25,24,1,0,0,67.739
controlled_random_b5_s0,controlled_random,5,0,25,24,1,0,0,64.775
controlled_random_b5_s1,controlled_random,5,1,25,23,2,0,0,63.075
controlled_random_b5_s2,controlled_random,5,2,25,25,0,0,0,70.615
controlled_evolutionary_b5_s0,controlled_evolutionary,5,0,25,19,6,0,0,53.36
controlled_evolutionary_b5_s1,controlled_evolutionary,5,1,25,17,8,0,0,44.853
controlled_evolutionary_b5_s2,controlled_evolutionary,5,2,25,23,2,0,0,67.747
controlled_greedy_b5_s0,controlled_greedy,5,0,25,25,0,0,0,67.894
controlled_greedy_b5_s1,controlled_greedy,5,1,25,21,4,0,0,50.4
controlled_greedy_b5_s2,controlled_greedy,5,2,25,23,2,0,0,61.238
controlled_random_b6_s0,controlled_random,6,0,25,24,1,0,0,64.9
controlled_random_b6_s1,controlled_random,6,1,25,23,2,0,0,61.831
controlled_random_b6_s2,controlled_random,6,2,25,25,0,0,0,66.415
controlled_evolutionary_b6_s0,controlled_evolutionary,6,0,25,21,4,0,0,60.014
controlled_evolutionary_b6_s1,controlled_evolutionary,6,1,25,16,11,0,0,44.664
controlled_evolutionary_b6_s2,controlled_evolutionary,6,2,25,21,4,0,0,60.513
controlled_greedy_b6_s0,controlled_greedy,6,0,25,25,1,0,0,66.851
controlled_greedy_b6_s1,controlled_greedy,6,1,25,24,1,0,0,64.086
controlled_greedy_b6_s2,controlled_greedy,6,2,25,23,2,0,0,61.53
controlled_random_b7_s0,controlled_random,7,0,25,24,1,0,0,63.87
controlled_random_b7_s1,controlled_random,7,1,25,23,2,0,0,62.433
controlled_random_b7_s2,controlled_random,7,2,25,25,0,0,0,70.721
controlled_evolutionary_b7_s0,controlled_evolutionary,7,0,25,20,5,0,0,59.573
controlled_evolutionary_b7_s1,controlled_evolutionary,7,1,25,18,7,0,0,55.364
controlled_evolutionary_b7_s2,controlled_evolutionary,7,2,25,23,2,0,0,76.192
controlled_greedy_b7_s0,controlled_greedy,7,0,25,25,0,0,0,74.806
controlled_greedy_b7_s1,controlled_greedy,7,1,25,25,0,0,0,71.667
controlled_greedy_b7_s2,controlled_greedy,7,2,25,22,3,0,0,62.384
controlled_random_b8_s0,controlled_random,8,0,25,24,1,0,0,72.582
controlled_random_b8_s1,controlled_random,8,1,25,23,2,0,0,66.971
controlled_random_b8_s2,controlled_random,8,2,25,25,0,0,0,69.014
controlled_evolutionary_b8_s0,controlled_evolutionary,8,0,25,17,8,0,0,48.536
controlled_evolutionary_b8_s1,controlled_evolutionary,8,1,25,18,7,0,0,50.487
controlled_evolutionary_b8_s2,controlled_evolutionary,8,2,25,20,5,0,0,61.325
controlled_greedy_b8_s0,controlled_greedy,8,0,25,24,1,0,0,67.12
controlled_greedy_b8_s1,controlled_greedy,8,1,25,22,4,0,0,53.968
controlled_greedy_b8_s2,controlled_greedy,8,2,25,23,2,0,0,65.541
controlled_random_b9_s0,controlled_random,9,0,25,24,1,0,0,66.293
controlled_random_b9_s1,controlled_random,9,1,25,23,2,0,0,63.582
controlled_random_b9_s2,controlled_random,9,2,25,25,0,0,0,67.353
controlled_evolutionary_b9_s0,controlled_evolutionary,9,0,25,21,4,0,0,61.146
controlled_evolutionary_b9_s1,controlled_evolutionary,9,1,25,17,9,0,0,46.995
controlled_evolutionary_b9_s2,controlled_evolutionary,9,2,25,21,4,0,0,60.989
controlled_greedy_b9_s0,controlled_greedy,9,0,25,25,0,0,0,65.383
controlled_greedy_b9_s1,controlled_greedy,9,1,25,24,1,0,0,65.496
controlled_greedy_b9_s2,controlled_greedy,9,2,25,22,3,0,0,56.201
