cell_id,arm,task,n_qubits,replicate,llm_calls,input_tokens,output_tokens,estimated_cost_usd,mock
gauss_peak_6q_random_structure_r0,random_structure,gauss_peak,6,0,0,0,0,0.0,
gauss_peak_6q_random_structure_r1,random_structure,gauss_peak,6,1,0,0,0,0.0,
gauss_peak_6q_random_structure_r2,random_structure,gauss_peak,6,2,0,0,0,0.0,
gauss_peak_6q_random_structure_r3,random_structure,gauss_peak,6,3,0,0,0,0.0,
gauss_peak_6q_random_structure_r4,random_structure,gauss_peak,6,4,0,0,0,0.0,
gauss_peak_6q_ref_strongent_d2_r0,ref_strongent_d2,gauss_peak,6,0,0,0,0,0.0,
gauss_peak_6q_ref_strongent_d2_r1,ref_strongent_d2,gauss_peak,6,1,0,0,0,0.0,
gauss_peak_6q_ref_strongent_d2_r2,ref_strongent_d2,gauss_peak,6,2,0,0,0,0.0,
gauss_peak_6q_ref_strongent_d2_r3,ref_strongent_d2,gauss_peak,6,3,0,0,0,0.0,
gauss_peak_6q_ref_strongent_d2_r4,ref_strongent_d2,gauss_peak,6,4,0,0,0,0.0,
gauss_peak_8q_evolutionary_structure_r0,evolutionary_structure,gauss_peak,8,0,0,0,0,0.0,
gauss_peak_8q_evolutionary_structure_r1,evolutionary_structure,gauss_peak,8,1,0,0,0,0.0,
gauss_peak_8q_evolutionary_structure_r2,evolutionary_structure,gauss_peak,8,2,0,0,0,0.0,
gauss_peak_8q_evolutionary_structure_r3,evolutionary_structure,gauss_peak,8,3,0,0,0,0.0,
gauss_peak_8q_evolutionary_structure_r4,evolutionary_structure,gauss_peak,8,4,0,0,0,0.0,
gauss_peak_8q_random_structure_r0,random_structure,gauss_peak,8,0,0,0,0,0.0,
gauss_peak_8q_random_structure_r1,random_structure,gauss_peak,8,1,0,0,0,0.0,
gauss_peak_8q_random_structure_r2,random_structure,gauss_peak,8,2,0,0,0,0.0,
gauss_peak_8q_random_structure_r3,random_structure,gauss_peak,8,3,0,0,0,0.0,
gauss_peak_8q_random_structure_r4,random_structure,gauss_peak,8,4,0,0,0,0.0,
gauss_peak_8q_ref_strongent_d2_r0,ref_strongent_d2,gauss_peak,8,0,0,0,0,0.0,
gauss_peak_8q_ref_strongent_d2_r1,ref_strongent_d2,gauss_peak,8,1,0,0,0,0.0,
gauss_peak_8q_ref_strongent_d2_r2,ref_strongent_d2,gauss_peak,8,2,0,0,0,0.0,
gauss_peak_8q_ref_strongent_d2_r3,ref_strongent_d2,gauss_peak,8,3,0,0,0,0.0,
gauss_peak_8q_ref_strongent_d2_r4,ref_strongent_d2,gauss_peak,8,4,0,0,0,0.0,
sin_freq_3q_evolutionary_structure_r0,evolutionary_structure,sin_freq,3,0,0,0,0,0.0,
sin_freq_3q_evolutionary_structure_r1,evolutionary_structure,sin_freq,3,1,0,0,0,0.0,
sin_freq_3q_evolutionary_structure_r2,evolutionary_structure,sin_freq,3,2,0,0,0,0.0,
sin_freq_3q_evolutionary_structure_r3,evolutionary_structure,sin_freq,3,3,0,0,0,0.0,
sin_freq_3q_evolutionary_structure_r4,evolutionary_structure,sin_freq,3,4,0,0,0,0.0,
sin_freq_3q_random_structure_r0,random_structure,sin_freq,3,0,0,0,0,0.0,
sin_freq_3q_random_structure_r1,random_structure,sin_freq,3,1,0,0,0,0.0,
sin_freq_3q_random_structure_r2,random_structure,sin_freq,3,2,0,0,0,0.0,
sin_freq_3q_random_structure_r3,random_structure,sin_freq,3,3,0,0,0,0.0,
sin_freq_3q_random_structure_r4,random_structure,sin_freq,3,4,0,0,0,0.0,
sin_freq_3q_ref_strongent_d2_r0,ref_strongent_d2,sin_freq,3,0,0,0,0,0.0,
sin_freq_3q_ref_strongent_d2_r1,ref_strongent_d2,sin_freq,3,1,0,0,0,0.0,
sin_freq_3q_ref_strongent_d2_r2,ref_strongent_d2,sin_freq,3,2,0,0,0,0.0,
sin_freq_3q_ref_strongent_d2_r3,ref_strongent_d2,sin_freq,3,3,0,0,0,0.0,
sin_freq_3q_ref_strongent_d2_r4,ref_strongent_d2,sin_freq,3,4,0,0,0,0.0,
sin_freq_4q_evolutionary_structure_r0,evolutionary_structure,sin_freq,4,0,0,0,0,0.0,
sin_freq_4q_evolutionary_structure_r1,evolutionary_structure,sin_freq,4,1,0,0,0,0.0,
sin_freq_4q_evolutionary_structure_r2,evolutionary_structure,sin_freq,4,2,0,0,0,0.0,
sin_freq_4q_evolutionary_structure_r3,evolutionary_structure,sin_freq,4,3,0,0,0,0.0,
sin_freq_4q_evolutionary_structure_r4,evolutionary_structure,sin_freq,4,4,0,0,0,0.0,
sin_freq_4q_random_structure_r0,random_structure,sin_freq,4,0,0,0,0,0.0,
sin_freq_4q_random_structure_r1,random_structure,sin_freq,4,1,0,0,0,0.0,
sin_freq_4q_random_structure_r2,random_structure,sin_freq,4,2,0,0,0,0.0,
sin_freq_4q_random_structure_r3,random_structure,sin_freq,4,3,0,0,0,0.0,
sin_freq_4q_random_structure_r4,random_structure,sin_freq,4,4,0,0,0,0.0,
sin_freq_4q_ref_strongent_d2_r0,ref_strongent_d2,sin_freq,4,0,0,0,0,0.0,
sin_freq_4q_ref_strongent_d2_r1,ref_strongent_d2,sin_freq,4,1,0,0,0,0.0,
sin_freq_4q_ref_strongent_d2_r2,ref_strongent_d2,sin_freq,4,2,0,0,0,0.0,
sin_freq_4q_ref_strongent_d2_r3,ref_strongent_d2,sin_freq,4,3,0,0,0,0.0,
sin_freq_4q_ref_strongent_d2_r4,ref_strongent_d2,sin_freq,4,4,0,0,0,0.0,
sin_freq_6q_evolutionary_structure_r0,evolutionary_structure,sin_freq,6,0,0,0,0,0.0,
sin_freq_6q_evolutionary_structure_r1,evolutionary_structure,sin_freq,6,1,0,0,0,0.0,
sin_freq_6q_evolutionary_structure_r2,evolutionary_structure,sin_freq,6,2,0,0,0,0.0,
sin_freq_6q_evolutionary_structure_r3,evolutionary_structure,sin_freq,6,3,0,0,0,0.0,
sin_freq_6q_evolutionary_structure_r4,evolutionary_structure,sin_freq,6,4,0,0,0,0.0,
sin_freq_6q_random_structure_r0,random_structure,sin_freq,6,0,0,0,0,0.0,
sin_freq_6q_random_structure_r1,random_structure,sin_freq,6,1,0,0,0,0.0,
sin_freq_6q_random_structure_r2,random_structure,sin_freq,6,2,0,0,0,0.0,
sin_freq_6q_random_structure_r3,random_structure,sin_freq,6,3,0,0,0,0.0,
sin_freq_6q_random_structure_r4,random_structure,sin_freq,6,4,0,0,0,0.0,
sin_freq_6q_ref_strongent_d2_r0,ref_strongent_d2,sin_freq,6,0,0,0,0,0.0,
sin_freq_6q_ref_strongent_d2_r1,ref_strongent_d2,sin_freq,6,1,0,0,0,0.0,
sin_freq_6q_ref_strongent_d2_r2,ref_strongent_d2,sin_freq,6,2,0,0,0,0.0,
sin_freq_6q_ref_strongent_d2_r3,ref_strongent_d2,sin_freq,6,3,0,0,0,0.0,
sin_freq_6q_ref_strongent_d2_r4,ref_strongent_d2,sin_freq,6,4,0,0,0,0.0,
sin_freq_8q_evolutionary_structure_r0,evolutionary_structure,sin_freq,8,0,0,0,0,0.0,
sin_freq_8q_evolutionary_structure_r1,evolutionary_structure,sin_freq,8,1,0,0,0,0.0,
sin_freq_8q_evolutionary_structure_r2,evolutionary_structure,sin_freq,8,2,0,0,0,0.0,
sin_freq_8q_evolutionary_structure_r3,evolutionary_structure,sin_freq,8,3,0,0,0,0.0,
sin_freq_8q_evolutionary_structure_r4,evolutionary_structure,sin_freq,8,4,0,0,0,0.0,
sin_freq_8q_random_structure_r0,random_structure,sin_freq,8,0,0,0,0,0.0,
sin_freq_8q_random_structure_r1,random_structure,sin_freq,8,1,0,0,0,0.0,
sin_freq_8q_random_structure_r2,random_structure,sin_freq,8,2,0,0,0,0.0,
sin_freq_8q_random_structure_r3,random_structure,sin_freq,8,3,0,0,0,0.0,
sin_freq_8q_random_structure_r4,random_structure,sin_freq,8,4,0,0,0,0.0,
sin_freq_8q_ref_strongent_d2_r0,ref_strongent_d2,sin_freq,8,0,0,0,0,0.0,
sin_freq_8q_ref_strongent_d2_r1,ref_strongent_d2,sin_freq,8,1,0,0,0,0.0,
sin_freq_8q_ref_strongent_d2_r2,ref_strongent_d2,sin_freq,8,2,0,0,0,0.0,
sin_freq_8q_ref_strongent_d2_r3,ref_strongent_d2,sin_freq,8,3,0,0,0,0.0,
sin_freq_8q_ref_strongent_d2_r4,ref_strongent_d2,sin_freq,8,4,0,0,0,0.0,
